,variety,country,province,region_1,count
0,Abouriou,France,Southwest France,Côtes du Marmandais,2
4,Agiorgitiko,Greece,Corinth,none,2
5,Agiorgitiko,Greece,Nemea,none,51
7,Agiorgitiko,Greece,Peloponnese,none,7
8,Aglianico,Italy,Italy Other,Vino Spumante,2
9,Aglianico,Italy,Southern Italy,Aglianico del Beneventano,2
10,Aglianico,Italy,Southern Italy,Aglianico del Taburno,13
11,Aglianico,Italy,Southern Italy,Aglianico del Vulture,90
12,Aglianico,Italy,Southern Italy,Basilicata,6
13,Aglianico,Italy,Southern Italy,Beneventano,3
14,Aglianico,Italy,Southern Italy,Campania,37
15,Aglianico,Italy,Southern Italy,Castel del Monte,4
16,Aglianico,Italy,Southern Italy,Cilento,2
18,Aglianico,Italy,Southern Italy,Irpinia,51
19,Aglianico,Italy,Southern Italy,Molise,3
21,Aglianico,Italy,Southern Italy,Puglia,5
22,Aglianico,Italy,Southern Italy,Sannio,3
24,Aglianico,Italy,Southern Italy,Taurasi,117
26,Aglianico,Italy,Southern Italy,Terre del Volturno,2
27,Aglianico,US,California,Amador County,2
34,Aglianico,US,California,Paso Robles,2
35,Aglianico,US,California,Sierra Foothills,2
41,Airen,Spain,Central Spain,Vino de la Tierra de Castilla,2
42,Albana,Italy,Central Italy,Albana di Romagna,7
44,Albana,Italy,Central Italy,Romagna,14
47,Albariño,Spain,Catalonia,Costers del Segre,3
49,Albariño,Spain,Galicia,Rías Baixas,336
52,Albariño,US,California,Calaveras County,6
53,Albariño,US,California,Carneros,2
54,Albariño,US,California,Central Coast,7
57,Albariño,US,California,Edna Valley,26
58,Albariño,US,California,Lodi,8
59,Albariño,US,California,Monterey,5
60,Albariño,US,California,Monterey County,2
61,Albariño,US,California,Napa Valley,4
62,Albariño,US,California,Paso Robles,10
63,Albariño,US,California,Russian River Valley,7
66,Albariño,US,California,San Luis Obispo County,3
67,Albariño,US,California,Santa Maria Valley,2
68,Albariño,US,California,Santa Ynez Valley,6
69,Albariño,US,California,Sonoma Coast,3
70,Albariño,US,California,Sonoma Valley,2
71,Albariño,US,California,Yolo County,2
74,Albariño,US,New York,North Fork of Long Island,2
79,Albariño,US,Oregon,Umpqua Valley,6
80,Albariño,US,Oregon,Willamette Valley,3
82,Albariño,US,Virginia,Virginia,2
83,Albariño,US,Washington,Ancient Lakes,2
84,Albariño,US,Washington,Columbia Valley (WA),3
86,Albariño,US,Washington,Walla Walla Valley (WA),2
87,Albariño,US,Washington,Yakima Valley,2
88,Albariño,Uruguay,Montevideo,none,3
89,Albariño,Uruguay,Uruguay,none,3
90,Albarossa,Italy,Piedmont,Monferrato,2
96,Alfrocheiro,Portugal,Alentejano,none,7
97,Alfrocheiro,Portugal,Dão,none,5
98,Alfrocheiro,Portugal,Tejo,none,4
100,Alicante,Italy,Tuscany,Maremma,2
103,Alicante Bouschet,Portugal,Alentejano,none,18
104,Alicante Bouschet,Portugal,Alentejo,none,2
106,Alicante Bouschet,Portugal,Lisboa,none,8
107,Alicante Bouschet,Portugal,Península de Setúbal,none,5
108,Alicante Bouschet,Portugal,Tejo,none,9
116,Aligoté,France,Burgundy,Bourgogne,2
117,Aligoté,France,Burgundy,Bourgogne Aligoté,17
119,Aligoté,US,California,Mt. Harlan,4
120,Aligoté,US,Washington,Snipes Mountain,2
121,Aligoté,US,Washington,Washington,2
122,Aligoté,US,Washington,Yakima Valley,2
123,Alsace white blend,France,Alsace,Alsace,51
124,Altesse,France,France Other,Roussette de Savoie,5
125,Altesse,France,France Other,Savoie,2
129,Alvarinho,Portugal,Alentejano,none,9
131,Alvarinho,Portugal,Duriense,none,4
132,Alvarinho,Portugal,Lisboa,none,13
