index,descriptors,relative_frequency
"Cabernet Sauvignon, South Coast, California, USA",powerful,0.33
"Sauvignon Blanc, Napa-Sonoma, North Coast, California, USA",green,0.50
"White Blend, Long Island, New York, USA",vanilla,0.29
"Sauvignon Blanc, Finger Lakes, New York, USA",flower,0.20
"Riesling, Southern Oregon, Oregon, USA",minerality,0.50
"Cabernet Franc, Finger Lakes, New York, USA",herb,0.08
"Viognier, Southern Oregon, Oregon, USA",flower,0.14
"White Blend, Finger Lakes, New York, USA",nut,0.20
"Sauvignon Blanc, Sierra Foothills, California, USA",herb,0.15
"Gamay, Willamette Valley, Oregon, USA",oak,1.00
"Merlot, Southern Oregon, Oregon, USA",tar,0.29
"Cabernet Franc, Sierra Foothills, California, USA",dark,0.20
"Riesling, Willamette Valley, Oregon, USA",flower,0.09
"Pinot Noir, Willamette Valley, Oregon, USA",oak,0.12
"White Blend, Sierra Foothills, California, USA",white,0.30
"Viognier, Willamette Valley, Oregon, USA",diluted,0.14
"Merlot, South Coast, California, USA",smoke,1.00
"Chardonnay, Long Island, New York, USA",length,0.25
"Sangiovese, Finger Lakes, New York, USA",tar,0.50
"Pinot Grigio, Long Island, New York, USA",savory,0.20
"Syrah, Finger Lakes, New York, USA",dense,0.18
"Pinot Noir, Finger Lakes, New York, USA",concentrated,0.13
"Chardonnay, Finger Lakes, New York, USA",oak,0.11
"Bordeaux-style Red Blend, Long Island, New York, USA",concentrated,0.33
"Pinot Grigio, Finger Lakes, New York, USA",white,0.11
"Syrah, Sierra Foothills, California, USA",dark,0.16
"Grenache, Sierra Foothills, California, USA",oak,0.25
"Chardonnay, Sierra Foothills, California, USA",vanilla_cream,0.33
"Malbec, Sierra Foothills, California, USA",cedar,0.17
"Bordeaux-style Red Blend, Finger Lakes, New York, USA",vanilla,0.15
"Pinot Grigio, Sierra Foothills, California, USA",flower,0.50
"Riesling, Long Island, New York, USA",green,0.40
"Petite Sirah, Sierra Foothills, California, USA",dark,0.33
"Sauvignon Blanc, Southern Oregon, Oregon, USA",grain,0.50
"Bordeaux-style Red Blend, Sierra Foothills, California, USA",dark,0.50
"Cabernet Franc, Southern Oregon, Oregon, USA",hibiscus,0.25
"Malbec, Southern Oregon, Oregon, USA",tomato,0.25
"Riesling, Finger Lakes, New York, USA",smoke,0.09
"Merlot, Long Island, New York, USA",concentrated,0.36
"Zinfandel, Sierra Foothills, California, USA",smoke,0.10
"Cabernet Sauvignon, Long Island, New York, USA",concentrated,0.33
"Syrah, South Coast, California, USA",wood,0.17
"Sauvignon Blanc, Willamette Valley, Oregon, USA",grass,0.29
"Sangiovese, Sierra Foothills, California, USA",oak,0.33
"Merlot, Finger Lakes, New York, USA",vanilla,0.09
"Pinot Noir, Sierra Foothills, California, USA",earth,0.67
"Cabernet Sauvignon, Finger Lakes, New York, USA",smoke,0.09
"Viognier, Sierra Foothills, California, USA",toast,0.18
"White Blend, Willamette Valley, Oregon, USA",white,0.60
"Merlot, Sierra Foothills, California, USA",rosemary,0.33
"Cabernet Sauvignon, Sierra Foothills, California, USA",vanilla,0.21
"Tempranillo, Sierra Foothills, California, USA",oak,0.50
"Bordeaux-style Red Blend, South Coast, California, USA",vanilla,0.33
"Syrah, Southern Oregon, Oregon, USA",sassafras,0.14
